renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/Cylinder003",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Cylinder003.001",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Cylinder004",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/Cylinder005",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/Cylinder007",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Cylinder010",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Example Sheet_019",0,"_Example Sheet_019.001_23850_lilToon","Assets/SceneExport/MaterialsLilToon/_Example Sheet_019.001_23850_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Example Sheet_052",0,"_Example Sheet_052.002_23988_lilToon","Assets/SceneExport/MaterialsLilToon/_Example Sheet_052.002_23988_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Examples_003",0,"_Examples_003.001_24092_lilToon","Assets/SceneExport/MaterialsLilToon/_Examples_003.001_24092_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Examples_003.001",0,"_Examples_003.001_24092_lilToon","Assets/SceneExport/MaterialsLilToon/_Examples_003.001_24092_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Examples_036",0,"_Examples_036.002_23798_lilToon","Assets/SceneExport/MaterialsLilToon/_Examples_036.002_23798_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-1-357",0,"材质.028_24352_lilToon","Assets/SceneExport/MaterialsLilToon/材质.028_24352_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.289 0.300 1.000","0.800 0.289 0.300 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-11-647",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-12-104",0,"Mat3d66-586052-20-16_24424_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-586052-20-16_24424_lilToon.mat","Universal Render Pipeline/Lit","","0.541 0.561 0.573 1.000","0.541 0.561 0.573 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-14-788",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-15-963",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-16-602",0,"Mat3d66-371593-12-724_24402_lilToon","Assets/SceneExport/MaterialsLilToon/Mat3d66-371593-12-724_24402_lilToon.mat","Universal Render Pipeline/Lit","","0.408 0.306 0.184 1.000","0.408 0.306 0.184 1.000",False,False
"Blender Indoor Scene/Group-371593-263/Obj3d66-371593-19-261",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
