renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/对象064",1,"材质.033_23986_lilToon","Assets/SceneExport/MaterialsLilToon/材质.033_23986_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.109 0.047 1.000","0.800 0.109 0.047 1.000",False,False
"Blender Indoor Scene/对象064",2,"金属白_23690_lilToon","Assets/SceneExport/MaterialsLilToon/金属白_23690_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/094_集成板3_2_ac7dda95dc.png","0.015 0.015 0.015 1.000","0.015 0.015 0.015 1.000",False,True
"Blender Indoor Scene/对象067",0,"材质.009_23774_lilToon","Assets/SceneExport/MaterialsLilToon/材质.009_23774_lilToon.mat","Universal Render Pipeline/Lit","","0.166 0.127 0.105 1.000","0.166 0.127 0.105 1.000",False,False
"Blender Indoor Scene/对象068",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象069",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象069.001",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象070",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象071",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象072",0,"材质.008_24038_lilToon","Assets/SceneExport/MaterialsLilToon/材质.008_24038_lilToon.mat","Universal Render Pipeline/Lit","","0.209 0.134 0.134 1.000","0.209 0.134 0.134 1.000",False,False
"Blender Indoor Scene/对象073",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象073.001",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象074",0,"材质.009_23774_lilToon","Assets/SceneExport/MaterialsLilToon/材质.009_23774_lilToon.mat","Universal Render Pipeline/Lit","","0.166 0.127 0.105 1.000","0.166 0.127 0.105 1.000",False,False
"Blender Indoor Scene/对象075",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象077",0,"材质.027_24344_lilToon","Assets/SceneExport/MaterialsLilToon/材质.027_24344_lilToon.mat","Universal Render Pipeline/Lit","","0.223 0.519 0.800 1.000","0.223 0.519 0.800 1.000",False,False
"Blender Indoor Scene/对象078",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象079",0,"材质.027_24344_lilToon","Assets/SceneExport/MaterialsLilToon/材质.027_24344_lilToon.mat","Universal Render Pipeline/Lit","","0.223 0.519 0.800 1.000","0.223 0.519 0.800 1.000",False,False
"Blender Indoor Scene/对象080",0,"材质.028_24352_lilToon","Assets/SceneExport/MaterialsLilToon/材质.028_24352_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.289 0.300 1.000","0.800 0.289 0.300 1.000",False,False
"Blender Indoor Scene/对象082",0,"材质.028_24352_lilToon","Assets/SceneExport/MaterialsLilToon/材质.028_24352_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.289 0.300 1.000","0.800 0.289 0.300 1.000",False,False
"Blender Indoor Scene/对象084",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象084",1,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象084",2,"材质.015_24072_lilToon","Assets/SceneExport/MaterialsLilToon/材质.015_24072_lilToon.mat","Universal Render Pipeline/Lit","","0.017 0.017 0.017 1.000","0.017 0.017 0.017 1.000",False,False
"Blender Indoor Scene/对象085",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象086",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象087",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象088",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象089",0,"材质.004_23796_lilToon","Assets/SceneExport/MaterialsLilToon/材质.004_23796_lilToon.mat","Universal Render Pipeline/Lit","","0.549 0.314 0.323 1.000","0.549 0.314 0.323 1.000",False,False
"Blender Indoor Scene/对象090",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象091",0,"黑缝隙.002_23768_lilToon","Assets/SceneExport/MaterialsLilToon/黑缝隙.002_23768_lilToon.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Blender Indoor Scene/对象092",0,"不锈钢_23792_lilToon","Assets/SceneExport/MaterialsLilToon/不锈钢_23792_lilToon.mat","Universal Render Pipeline/Lit","","0.780 0.790 1.000 1.000","0.780 0.790 1.000 1.000",False,False
"Blender Indoor Scene/对象093",0,"材质.017_24020_lilToon","Assets/SceneExport/MaterialsLilToon/材质.017_24020_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象094",0,"材质.017_24020_lilToon","Assets/SceneExport/MaterialsLilToon/材质.017_24020_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象095",0,"材质.018_24116_lilToon","Assets/SceneExport/MaterialsLilToon/材质.018_24116_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.057 0.029 1.000","0.800 0.057 0.029 1.000",False,False
"Blender Indoor Scene/对象096",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/对象097",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/对象098",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象099",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象100",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象101",0,"材质.018_24116_lilToon","Assets/SceneExport/MaterialsLilToon/材质.018_24116_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.057 0.029 1.000","0.800 0.057 0.029 1.000",False,False
"Blender Indoor Scene/对象102",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象103",0,"自发光_蓝光_23958_lilToon","Assets/SceneExport/MaterialsLilToon/自发光_蓝光_23958_lilToon.mat","Universal Render Pipeline/Lit","","0.000 0.109 0.800 1.000","0.000 0.109 0.800 1.000",False,False
"Blender Indoor Scene/对象104",0,"金属黑.001_24024_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.001_24024_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
"Blender Indoor Scene/对象105",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象106",0,"No Name_23824_lilToon","Assets/SceneExport/MaterialsLilToon/No Name_23824_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/对象113.002",0,"Material #80_24258_lilToon","Assets/SceneExport/MaterialsLilToon/Material #80_24258_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/072_贴图 _58_82f5ea1501.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象114",0,"材质.034_23924_lilToon","Assets/SceneExport/MaterialsLilToon/材质.034_23924_lilToon.mat","Universal Render Pipeline/Lit","","0.281 0.456 0.326 1.000","0.281 0.456 0.326 1.000",False,False
"Blender Indoor Scene/对象115",0,"Material #32_24120_lilToon","Assets/SceneExport/MaterialsLilToon/Material #32_24120_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/090_贴图 _8_76a75f5c70.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象116",0,"Material #33_24256_lilToon","Assets/SceneExport/MaterialsLilToon/Material #33_24256_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/091_贴图 _9_686a136b22.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象118",0,"Material #38_24036_lilToon","Assets/SceneExport/MaterialsLilToon/Material #38_24036_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象119",0,"Material #45_23922_lilToon","Assets/SceneExport/MaterialsLilToon/Material #45_23922_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/056_贴图 _22_3df9a42e70.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象121",0,"材质.034_23924_lilToon","Assets/SceneExport/MaterialsLilToon/材质.034_23924_lilToon.mat","Universal Render Pipeline/Lit","","0.281 0.456 0.326 1.000","0.281 0.456 0.326 1.000",False,False
"Blender Indoor Scene/对象122",0,"Material #45_23922_lilToon","Assets/SceneExport/MaterialsLilToon/Material #45_23922_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/056_贴图 _22_3df9a42e70.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象123",0,"Material #45_23922_lilToon","Assets/SceneExport/MaterialsLilToon/Material #45_23922_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/056_贴图 _22_3df9a42e70.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象124",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象125",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/对象126",0,"Blue_23772_lilToon","Assets/SceneExport/MaterialsLilToon/Blue_23772_lilToon.mat","Universal Render Pipeline/Lit","","0.075 0.479 0.940 1.000","0.075 0.479 0.940 1.000",False,False
"Blender Indoor Scene/对象126.001",0,"材质.037_24164_lilToon","Assets/SceneExport/MaterialsLilToon/材质.037_24164_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.067 0.008 1.000","0.800 0.067 0.008 1.000",False,False
"Blender Indoor Scene/对象127",0,"Material #69_24214_lilToon","Assets/SceneExport/MaterialsLilToon/Material #69_24214_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/063_贴图 _47_a7db654950.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象128",0,"Material #75_24136_lilToon","Assets/SceneExport/MaterialsLilToon/Material #75_24136_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/068_贴图 _53_34c8749b58.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象129",0,"Material #76_24280_lilToon","Assets/SceneExport/MaterialsLilToon/Material #76_24280_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/069_贴图 _54_bae3f822a5.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象130",0,"Material #90_24390_lilToon","Assets/SceneExport/MaterialsLilToon/Material #90_24390_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/087_贴图 _75_4b824ef10e.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象131",0,"Material #88_23980_lilToon","Assets/SceneExport/MaterialsLilToon/Material #88_23980_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/084_贴图 _73_ffd87f2604.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象132",0,"Material #87_23848_lilToon","Assets/SceneExport/MaterialsLilToon/Material #87_23848_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/082_贴图 _72_8e8db851d1.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象133",0,"Material #89_24234_lilToon","Assets/SceneExport/MaterialsLilToon/Material #89_24234_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/085_贴图 _74_7dca0a8ee8.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象134",0,"Material #86_23978_lilToon","Assets/SceneExport/MaterialsLilToon/Material #86_23978_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/081_贴图 _71_a489611e87.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象135",0,"Material #85_23840_lilToon","Assets/SceneExport/MaterialsLilToon/Material #85_23840_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/079_贴图 _70_05ff985473.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象137",0,"Material #45_23922_lilToon","Assets/SceneExport/MaterialsLilToon/Material #45_23922_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/056_贴图 _22_3df9a42e70.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象138",0,"Material #45_23922_lilToon","Assets/SceneExport/MaterialsLilToon/Material #45_23922_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/056_贴图 _22_3df9a42e70.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象139",0,"材质.017_24020_lilToon","Assets/SceneExport/MaterialsLilToon/材质.017_24020_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/对象140",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/对象144",0,"Material #36_23784_lilToon","Assets/SceneExport/MaterialsLilToon/Material #36_23784_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/051_贴图 _12_e4c1c2a8a8.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/对象145",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象145.001",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象146",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/对象146.001",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/对象147",0,"材质.022_23726_lilToon","Assets/SceneExport/MaterialsLilToon/材质.022_23726_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/对象147.001",0,"材质.022_23726_lilToon","Assets/SceneExport/MaterialsLilToon/材质.022_23726_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/对象148",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象148.001",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象149",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象149.001",0,"材质.019_23956_lilToon","Assets/SceneExport/MaterialsLilToon/材质.019_23956_lilToon.mat","Universal Render Pipeline/Lit","","0.194 0.087 0.008 1.000","0.194 0.087 0.008 1.000",False,False
"Blender Indoor Scene/对象150",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/对象150.001",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/对象151",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/对象151.001",0,"材质.020_23732_lilToon","Assets/SceneExport/MaterialsLilToon/材质.020_23732_lilToon.mat","Universal Render Pipeline/Lit","","0.488 0.352 0.219 1.000","0.488 0.352 0.219 1.000",False,False
"Blender Indoor Scene/平面",0,"平面_Visible","Assets/SceneExport/Materials/平面_Visible.mat","Universal Render Pipeline/Unlit","Assets/SceneExport/Textures/024_921daa9462033c0f23d62ee1e903ca2bed0029b2843d0-rJCB3b_fw1200_004fbc2914.jpg","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",False,True
"Blender Indoor Scene/平面.001",0,"平面.001_Visible","Assets/SceneExport/Materials/平面.001_Visible.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/024_921daa9462033c0f23d62ee1e903ca2bed0029b2843d0-rJCB3b_fw1200_004fbc2914.jpg","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",False,True
"Blender Indoor Scene/立方体",0,"材质.014_24104_lilToon","Assets/SceneExport/MaterialsLilToon/材质.014_24104_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/立方体.002",0,"No Name_23824_lilToon","Assets/SceneExport/MaterialsLilToon/No Name_23824_lilToon.mat","Universal Render Pipeline/Lit","","1.000 1.000 1.000 1.000","1.000 1.000 1.000 1.000",True,False
"Blender Indoor Scene/组004/mesh0",0,"Facial_24406_lilToon","Assets/SceneExport/MaterialsLilToon/Facial_24406_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/034_Diffuse Texture_c6b1801bf9.jpg","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,True
"Blender Indoor Scene/组004/mesh0.001",0,"jacket_24434_lilToon","Assets/SceneExport/MaterialsLilToon/jacket_24434_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/040_mat3_c_7b13e1f4a5.jpg","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,True
"Blender Indoor Scene/组004/mesh0.002",0,"jacket_torn_24438_lilToon","Assets/SceneExport/MaterialsLilToon/jacket_torn_24438_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/035_Diffuse Texture_2c2e08f990.jpg","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,True
"Blender Indoor Scene/组004/mesh0.003",0,"Skin_24440_lilToon","Assets/SceneExport/MaterialsLilToon/Skin_24440_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/038_mat0_c_cb453112b7.jpg","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,True
"Blender Indoor Scene/组004/mesh0.004",0,"Hair_24416_lilToon","Assets/SceneExport/MaterialsLilToon/Hair_24416_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/039_mat1_c_c56f44fd44.jpg","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,True
"Blender Indoor Scene/组005/000-0-0",0,"Material #27_24436_lilToon","Assets/SceneExport/MaterialsLilToon/Material #27_24436_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/028_base.tga_6917dd332e.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/组005/004-0-4",0,"Material #26.001_24446_lilToon","Assets/SceneExport/MaterialsLilToon/Material #26.001_24446_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/036_face9_b5c3d5f162.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/组005/Box107",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/高精度-游戏机-模型\Controller001",0,"材质.033_23986_lilToon","Assets/SceneExport/MaterialsLilToon/材质.033_23986_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.109 0.047 1.000","0.800 0.109 0.047 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - bottom side",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - center horizontal",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - center vertical",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - left side",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - right side",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
"Window Realtime Projection/Window Shadow Caster - top side",0,"Window_Realtime_ShadowCaster","Assets/SceneExport/Materials/Window_Realtime_ShadowCaster.mat","Universal Render Pipeline/Lit","","0.000 0.000 0.000 1.000","0.000 0.000 0.000 1.000",False,False
